净值日期,单位净值,日增长率
2015-06-30,1.0,0.0
2015-07-03,0.9031,0.0
2015-07-06,0.9544,5.6804
2015-07-07,0.9511,-0.3458
2015-07-08,0.8787,-7.6122
2015-07-09,0.9413,7.1242
2015-07-10,0.9918,5.3649
2015-07-13,0.9981,0.6352
2015-07-14,0.9517,-4.6488
2015-07-15,0.9116,-4.2135
2015-07-16,0.911,-0.0658
2015-07-17,0.9468,3.9297
2015-07-20,0.9339,-1.3625
2015-07-21,0.936,0.2249
2015-07-22,0.9211,-1.5919
2015-07-23,0.946,2.7033
2015-07-24,0.9206,-2.685
2015-07-27,0.84,-8.7552
2015-07-28,0.8628,2.7143
2015-07-29,0.8642,0.1623
2015-07-30,0.8315,-3.7838
2015-07-31,0.8296,-0.2285
2015-08-03,0.834,0.5304
2015-08-04,0.8508,2.0144
2015-08-05,0.8275,-2.7386
2015-08-06,0.8099,-2.1269
2015-08-07,0.8228,1.5928
2015-08-10,0.8701,5.7487
2015-08-11,0.8593,-1.2412
2015-08-12,0.8509,-0.9775
2015-08-13,0.8592,0.9754
2015-08-14,0.8648,0.6518
2015-08-17,0.8494,-1.7808
2015-08-18,0.7979,-6.0631
2015-08-19,0.8062,1.0402
2015-08-20,0.7751,-3.8576
2015-08-21,0.727,-6.2057
2015-08-24,0.6618,-8.9684
2015-08-25,0.6105,-7.7516
2015-08-26,0.6042,-1.0319
2015-08-27,0.6501,7.5968
2015-08-28,0.6742,3.7071
2015-08-31,0.6677,-0.9641
2015-09-01,0.6761,1.2581
2015-09-02,0.6713,-0.71
2015-09-07,0.6549,-2.443
2015-09-08,0.676,3.2219
2015-09-09,0.6934,2.574
2015-09-10,0.6806,-1.846
2015-09-11,0.6757,-0.72
2015-09-14,0.6569,-2.7823
2015-09-15,0.633,-3.6383
2015-09-16,0.6694,5.7504
2015-09-17,0.6524,-2.5396
2015-09-18,0.6566,0.6438
2015-09-21,0.6655,1.3555
2015-09-22,0.6863,3.1255
2015-09-23,0.6629,-3.4096
2015-09-24,0.6682,0.7995
2015-09-25,0.6533,-2.2299
2015-09-28,0.6566,0.5051
2015-09-29,0.6468,-1.4925
2015-09-30,0.6477,0.1391
2015-10-08,0.6701,3.4584
2015-10-09,0.69,2.9697
2015-10-12,0.7219,4.6232
2015-10-13,0.717,-0.6788
2015-10-14,0.7073,-1.3529
2015-10-15,0.7269,2.7711
2015-10-16,0.7401,1.8159
2015-10-19,0.7536,1.8241
2015-10-20,0.7591,0.7298
2015-10-21,0.7325,-3.5041
2015-10-22,0.74,1.0239
2015-10-23,0.7534,1.8108
2015-10-26,0.7633,1.314
2015-10-27,0.7629,-0.0524
2015-10-28,0.7396,-3.0541
2015-10-29,0.7379,-0.2299
2015-10-30,0.7499,1.6262
2015-11-02,0.732,-2.387
2015-11-03,0.7343,0.3142
2015-11-04,0.797,8.5387
2015-11-05,0.8384,5.1945
2015-11-06,0.8958,6.8464
2015-11-09,0.8894,-0.7144
2015-11-10,0.8985,1.0232
2015-11-11,0.9092,1.1909
2015-11-12,0.8939,-1.6828
2015-11-13,0.8973,0.3804
2015-11-16,0.8896,-0.8581
2015-11-17,0.8963,0.7531
2015-11-18,0.8702,-2.912
2015-11-19,0.8872,1.9536
2015-11-20,0.8752,-1.3526
2015-11-23,0.8674,-0.8912
2015-11-24,0.8798,1.4296
2015-11-25,0.883,0.3637
2015-11-26,0.8761,-0.7814
2015-11-27,0.8157,-6.8942
2015-11-30,0.8122,-0.4291
2015-12-01,0.813,0.0985
2015-12-02,0.8599,5.7688
2015-12-03,0.8618,0.221
2015-12-04,0.8389,-2.6572
2015-12-07,0.8305,-1.0013
2015-12-08,0.8184,-1.457
2015-12-09,0.821,0.3177
2015-12-10,0.8232,0.268
2015-12-11,0.826,0.3401
2015-12-14,0.8843,7.0581
2015-12-15,0.862,-2.5218
2015-12-16,0.8638,0.2088
2015-12-17,0.8745,1.2387
2015-12-18,0.8695,-0.5718
2015-12-21,0.8868,1.9896
2015-12-22,0.8963,1.0713
2015-12-23,0.9098,1.5062
2015-12-24,0.8865,-2.561
2015-12-25,0.8893,0.3158
2015-12-28,0.8561,-3.7333
2015-12-29,0.8656,1.1097
2015-12-30,0.8616,-0.4621
2015-12-31,0.8539,-0.8937
